0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
;Наим-е подвески;точки подв-ки 1Б.Р;;Точка подв-ки 2;;Точки подв-ки 3.4;;Точки подв-ки 5.6;;точки подв-ки 7.8;;точки подв-ки 9.10;;Точки подв-ки 11.12;
1;Подвеска Р-73Э;-----;;-----;;0;0;0;0;на ВСУ;;-----;;-----;
;1;;;;;51;13.028;26;14.362;210;13.711;;;;
;АПУ-73 (П72-1ДБ-2);;;;;50;13.016;50;14.35;;;;;;
;Ракета Р-73Э (105 кг);;;;;105;12.74;105;14.074;;;;;;
2;Подвеска К-74М;-----;;-----;;0;0;0;0;на ВСУ;;-----;;-----;
;1;;;;;51;13.028;26;14.362;212;13.683;;;;
;АПУ-760;;;;;62;12.97;62;14.302;;;;;;
;Ракета К-74М (106 кг);;;;;106;12.712;106;14.088;;;;;;
3;Подвеска К-77-1;0;0;0;0;0;0;0;0;-----;;0;0;0;0
;1;;;;;51;13.028;26;14.362;;;18;11.715;53;12.548
;2;48;10.555;48;15.459;;;;;;;;;;
;АКУ-170Е;62;10.58;62;15.484;62;13.053;62;14.387;;;62;11.74;62;12.574
;Ракета К-77-1;350;10.209;350;15.113;350;12.682;350;14.016;;;350;11.369;350;12.202
4;Подв-а Р-27ЭР1;0;0;0;0;0;0;-----;;-----;;0;0;0;0
;1;;;;;51;13.028;;;;;18;11.715;53;12.548
;АПУ-470М;;;;;70;13.028;;;;;;;70;12.548
;АКУ-470;110;10.555;110;15.459;;;;;;;110;11.715;;
;Ракета Р-27ЭР1;343;10.489;343;15.395;343;13.043;;;;;343;11.66;343;12.563
5;ПодвескаР-27ЭТ1;-----;;-----;;0;0;-----;;-----;;-----;;0;0
;1;;;;;51;13.028;;;;;;;53;12.548
;АПУ-470М;;;;;70;13.028;;;;;;;70;12.548
;Ракета Р-27ЭТ1;;;;;350;13.096;;;;;;;350;12.616
6;Подвеска Р-27ЭП1;-----;;-----;;0;0;-----;;-----;;-----;;0;0
;1;;;;;51;13.028;;;;;;;53;12.548
;АПУ-470М;;;;;70;13.028;;;;;;;70;12.548
;Ракета Р-27ЭП1;;;;;342;13.096;;;;;;;342;12.616
7;Подвеска ОФАБ-250-270 (ФАБ-250ТС);0;0;0;0;0;0;-----;;-----;;0;0;2604;12.597
;1;25;10.555;25;15.459;51;13.028;;;;;18;11.715;53;12.548
;МБД3-У6-68;149;10.605;149;15.509;149;13.078;;;;;149;11.765;149;12.598
;ОФАБ-250-270;275;10.606;275;15.51;275;13.079;;;;;275;11.777;275;12.599
8;Подвеска ОФАБ-250-М62 (ФАБ-250-М62Т);0;0;0;0;0;0;-----;;-----;;0;0;0;0
;1;25;10.555;25;15.459;51;13.028;;;;;18;11.715;53;12.548
;МБД3-У6-68;149;10.605;149;15.509;149;13.078;;;;;149;11.765;149;12.598
;ФАБ-250-М62;246;10.268;246;15.172;246;12.741;;;;;246;11.441;246;12.573
9;Подвеска РБК-250-275АО-1сч;0;0;0;0;0;0;-----;;-----;;0;0;0;0
;1;25;10.555;25;15.459;51;13.028;;;;;18;11.715;53;12.548
;МБД3-У6-68;149;10.605;149;15.509;149;13.078;;;;;149;11.765;149;12.598
;РБК-250-275АО-1сч;281;10.268;281;15.172;281;12.741;;;;;281;11.751;281;12.573
10;Подвеска ФАБ-500М-62 (ОДАБ-500ПМ. ФЗАБ-500М);0;0;0;0;0;0;-----;;-----;;0;0;0;0
;2;;;;;98;13.037;;;;;;;;
;1;25;10.555;25;15.459;;;;;;;18;11.715;53;12.548
